character_id,ability,synergy_tag,synergy_type,ability_text
AgathaHarkness,ultimate,Nightstalker,ally,"Witchcraft  Attack primary target for 275% Piercing.
If the primary target is MYSTIC, deal 5% of the target's Max Health.

Apply +1 Deflect, up to a maximum of 3, to self and all DARKHOLD and NIGHTSTALKER allies.

Call 1 random adjacent DARKHOLD or NIGHTSTALKER ally to attack the primary target. Called ally attacks for -50% Damage.
In ARENA, call 2 random adjacent DARKHOLD allies to attack the primary target instead. Level Required: 65  t4 confidence 66.3%"
AgentVenom,basic,Symbiote,ally,"Disabled veteran Flash Thompson volunteered to be bonded with the Venom symbiote, combining his mastery of weaponry with symbiote savagery to deal massive damage to their enemies."
AgentVenom,passive,Rebirth,enemy,"Symbiotic Smackdown  Attack primary target 250% Piercing.
Bonus Attack 2 times for 250% Piercing.

If this character has 3 or more REBIRTH allies, Bonus Attack 1 additional time for 250% Piercing.

In RAIDS, flip a positive effect to a negative effect on each attack. Level Required: 68  t4 confidence 31.7%"
AimControl_Infect,ultimate,A.I.M.,ally,"Biohazard  Fill Speed Bar by 75%.
Heal self for 10,000 Health + 20% of Max Health.

Gain 2 Counter.  Apply 2 Counter to adjacent A.I.M. allies. Level Required: 68  t4 confidence 6.7%"
AimDmg_Offense,ultimate,A.I.M.,enemy,"Sudden Evolution  Gain Offense Up + apply Offense Up to adjacent A.I.M. allies for 3 turns.
Attack primary target for 300% damage.

This attack cannot miss. Level Required: 68  t4 confidence 6.5%"
AimDmg_Speed,passive,A.I.M.,enemy,"Juicer  On Turn, fill Speed Bar by 20% for self and adjacent A.I.M. allies.
Gain +15% Damage and +10% Max Health. Level Required: 64  t4 confidence 17.0%"
AimSupport_Heal,passive,A.I.M.,ally,"Antidote  On Turn, choose 1 random ally to apply 1 random positive effect from this list: Offense Up, Defense Up, Speed Up, Regeneration, Deathproof, Deflect.

If ally is A.I.M., then apply 2 random positive effects from the list.

When a negative effect is applied to an A.I.M. ally, fill this character's Speed Bar by 20%. Level Required: 64  t4 confidence 13.5%"
AimTank_Taunt,passive,A.I.M.,enemy,"Immunization  On attacked, if Scientist Supreme is an ally, when above 75% Health, transfer 1 negative effect from self and each A.I.M. ally to the attacking enemy.

Gain +10% Max Health and +15% Resistance. Level Required: 64  t4 confidence 7.1%"
AimTank_Taunt,ultimate,A.I.M.,ally,"Charge Capacitor  Gain Taunt for 1 turn + Slow for 2 turns. Heal self and adjacent A.I.M. allies for 10,000 Health + 10% of Max Health.  Clear Speed Up on self. Level Required: 68  t4 confidence 4.1%"
AmadeusCho,basic,Gamma,ally,"Brawn exercises his brilliant mind to control his Hulk persona, supporting his Gamma allies to keep them in the fight."
AmadeusCho,passive,Champion,enemy,"Gamma Slamma  Attack primary and adjacent targets for 250% damage + copy and clear all positive effects, excluding Taunt, from each target.

Spread all positive effects, excluding Taunt, from self to all CHAMPION or GAMMA allies.

This attack cannot be blocked. Level Required: 68  t4 confidence 66.0%"
AmadeusCho,passive,Gamma,enemy,"Gamma Slamma  Attack primary and adjacent targets for 250% damage + copy and clear all positive effects, excluding Taunt, from each target.

Spread all positive effects, excluding Taunt, from self to all CHAMPION or GAMMA allies.

This attack cannot be blocked. Level Required: 68  t4 confidence 66.0%"
AmadeusCho,special,Gamma,ally,Assist/Counter Info Attack primary target for 205% damage + 17% Piercing + apply Offense Down.Apply Regeneration to the most injured GAMMA ally.
AmadeusCho,ultimate,Champion,ally,"Calculated Strike  Attack primary target for 320% damage + apply Offense Down.

Apply 2 Regeneration to the most injured CHAMPION or GAMMA ally. Level Required: 65  t4 confidence 52.3%"
AmadeusCho,ultimate,Gamma,ally,"Calculated Strike  Attack primary target for 320% damage + apply Offense Down.

Apply 2 Regeneration to the most injured CHAMPION or GAMMA ally. Level Required: 65  t4 confidence 52.3%"
AmericaChavez,basic,BRAWLER,ally,America Chavez hits hard enough to punch through reality itself and is even stronger with Hero Brawler allies.
AmericaChavez,basic,Hero,ally,America Chavez hits hard enough to punch through reality itself and is even stronger with Hero Brawler allies.
AmericaChavez,passive,Avenger,self,"Shooting Star  Attack primary target for 300% damage + 75% damage per YOUNG AVENGER or HERO BRAWLER ally.

If Kate Bishop is an ally, this attack always Crits. Level Required: 68  t4 confidence 27.1%"
AmericaChavez,passive,BRAWLER,self,"Shooting Star  Attack primary target for 300% damage + 75% damage per YOUNG AVENGER or HERO BRAWLER ally.

If Kate Bishop is an ally, this attack always Crits. Level Required: 68  t4 confidence 27.1%"
AmericaChavez,passive,Hero,self,"Shooting Star  Attack primary target for 300% damage + 75% damage per YOUNG AVENGER or HERO BRAWLER ally.

If Kate Bishop is an ally, this attack always Crits. Level Required: 68  t4 confidence 27.1%"
AmericaChavez,passive,Young Avenger,self,"Shooting Star  Attack primary target for 300% damage + 75% damage per YOUNG AVENGER or HERO BRAWLER ally.

If Kate Bishop is an ally, this attack always Crits. Level Required: 68  t4 confidence 27.1%"
AncientOne,basic,Mystic,ally,"For centuries, the Ancient One served as Sorcerer Supreme, protecting the Earth from mystical threats from other dimensions. She uses her mastery of the mystic arts to deal massive damage to her enemies while harnessing seemingly random magic forces to aid her teammates."
AncientOne,passive,Astral,enemy,"Arcane Reign  Attack primary target for 250% Piercing + Rebound Chain to 3 adjacent enemies for 250% Piercing.

Attack the most injured enemy for 250% Piercing + apply Stun + reduce Speed Bar by 100%.

Apply Safeguard to self and all ASTRAL allies.

Counterattack breaks this Chain. Level Required: 70  t4 confidence 57.9%"
AncientOne,special,Astral,enemy,"Soul Strike  Attack primary and adjacent targets for 200% Piercing + apply 2 Bleed.

On Crit, apply an additional 2 Bleed to that target.

When forced to attack an ally, this character deals less damage to ASTRAL characters. Level Required: 65  t4 confidence 57.1%"
AntMan,special,Infestation,enemy,"Scrappy Fighter  Attack primary target for 340% damage + copy and clear a positive effect, excluding Taunt, from the target to self.

If Wasp is an ally, she also gains the copied effect.

When forced to attack an ally, this character deals less damage to INFESTATION characters. Level Required: 65  t4 confidence 22.8%"
AntiVenom,basic,Hero,ally,"An altered Venom Symbiote turned Eddie Brock into Anti-Venom, a Hero who heals rather than destroys."
AntiVenom,basic,Symbiote,ally,"An altered Venom Symbiote turned Eddie Brock into Anti-Venom, a Hero who heals rather than destroys."
AntiVenom,passive,Symbiote,ally,"Deadly Cure  Gain the opposite of all negative effects, excluding Bleed, on the primary target.
Attack primary target for 300% damage + 100% Drain.
Gain 2 Regeneration.
Spread 2 random positive effects on self to non-SYMBIOTE allies. Spread all positive effects on self to SYMBIOTE allies. Level Required: 70  t4 confidence 51.3%"
AntiVenom,ultimate,Symbiote,ally,"Antiseptic  Clear Heal Block on all allies. Apply Immunity to all allies.
Heal all allies for 20% of this character's Max Health.

Revive a dead SYMBIOTE ally with 60% base Health
If there are no SYMBIOTE allies to revive, gain 3 Ability Energy. Level Required: 68  t4 confidence 50.1%"
Apocalypse,basic,Mutant,ally,"The first mutant, En Sabah Nur, Apocalypse has arrived! With his incalculable power he destroys enemy defenses and grants Safeguard and Immunity to his allies."
Apocalypse,passive,Horseman,self,"The End is Here  Clear Barrier on all enemies.

Attack all enemies for 500% damage + 100% Drain.
Flip Defense Up on all enemies. Flip 2 random positive effects into negative effects on all enemies.
Apply Trauma, Bleed, and Slow to all enemies.

Become Empowered. On Empowered, fill Speed Bar for self by 100% + 10% for each HORSEMAN ally.

This attack is unavoidable and cannot be Blocked or counterattacked. Level Required: 80  t4 confidence 92.7%"
Apocalypse,ultimate,Horseman,enemy,"Seismic Sands  Attack primary target for 350% Piercing + 100% Drain + apply +1 Ability Block, up to a maximum of 2.
Attack all adjacent targets for 350% Piercing + 100% Drain.

Apply +2 Vulnerable, +2 Offense Down, and +2 Defense Down, up to a maximum of 3, to primary and adjacent targets.

Redistribute your total squad health evenly.

Do the following for this character, all HORSEMAN allies, and 2 non-HORSEMAN allies with the highest Damage:
 > Clear all negative effects.
 > Apply +1 Defense Up, up to a maximum of 2.
 > Apply Safeguard and Immunity.

This attack ignores Defense Up. Level Required: 78  t4 confidence 92.6%"
Archangel,basic,Horseman,ally,"Formerly one of the five original X-Men, Angel was granted metal wings by Apocalypse and transformed into Archangel, the Horseman of Death."
Archangel,basic,X-Men,ally,"Formerly one of the five original X-Men, Angel was granted metal wings by Apocalypse and transformed into Archangel, the Horseman of Death."
Archangel,passive,Death Seed,ally,"Shard Storm  Clear 3 negative effects from self and all DEATH SEED allies.
Apply Offense Up for 2 turns to self and all DEATH SEED allies.
Attack primary and adjacent targets for 330% damage.

On any target Block, fill Speed Bar for this character by +20%.

On Kill, apply Offense Down for 2 turns to all enemies.

This attack cannot be counterattacked. Level Required: 68  t4 confidence 75.0%"
Azazel,passive,Accursed,enemy,"Infernal Barrage  Attack the primary target for 250% Piercing + clear 1 positive effect + reduce Speed Bar by 15%.

Rebound Chain to 8 targets within infinite spaces of the previous target for 250% Piercing + clear 1 positive effect + reduce Speed Bar by 15%.

Bonus Attack the enemy with the highest Speed for 250% Piercing + clear 1 positive effect + apply Slow + reduce Speed Bar by 50%.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked.
This attack ignores Defense Up. Level Required: 70  t4 confidence 51.8%"
Azazel,passive,Hellfire,enemy,"Infernal Barrage  Attack the primary target for 250% Piercing + clear 1 positive effect + reduce Speed Bar by 15%.

Rebound Chain to 8 targets within infinite spaces of the previous target for 250% Piercing + clear 1 positive effect + reduce Speed Bar by 15%.

Bonus Attack the enemy with the highest Speed for 250% Piercing + clear 1 positive effect + apply Slow + reduce Speed Bar by 50%.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked.
This attack ignores Defense Up. Level Required: 70  t4 confidence 51.8%"
Azazel,special,Accursed,enemy,"Hellish Slash  Attack primary target for 300% damage.
Bonus Attack the enemy with the highest Damage for 150% damage.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked. Level Required: 65  t4 confidence 45.0%"
Azazel,special,Hellfire,enemy,"Hellish Slash  Attack primary target for 300% damage.
Bonus Attack the enemy with the highest Damage for 150% damage.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked. Level Required: 65  t4 confidence 45.0%"
Azazel,ultimate,Accursed,enemy,"Tailored Strikes  Attack all enemies for 320% damage + flip Defense Up + apply Bleed.

Bonus Attack the enemy with the highest Damage for 320% damage + apply Blind.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked. Level Required: 68  t4 confidence 50.7%"
Azazel,ultimate,Hellfire,enemy,"Tailored Strikes  Attack all enemies for 320% damage + flip Defense Up + apply Bleed.

Bonus Attack the enemy with the highest Damage for 320% damage + apply Blind.

If this character has 3 or more HELLFIRE CLUB or ACCURSED allies, this attack cannot be counterattacked. Level Required: 68  t4 confidence 50.7%"
BaronMordo,passive,Mystic,enemy,"Mesmerize  Apply Stun to the primary target.

50% chance to apply Blind to up to 4 additional random targets.
If this character has 4 or more MYSTIC allies, always apply Blind for 2 turns to 4 additional random targets instead.

Apply Slow to 2 random targets.

This attack cannot be blocked. Level Required: 68  t4 confidence 25.9%"
Beast,basic,Mutant,ally,Beast is a master of Mutant science who improves any X-Men team by healing and granting positive effects.
Beast,basic,X-Men,ally,Beast is a master of Mutant science who improves any X-Men team by healing and granting positive effects.
Beast,passive,Avenger,ally,"Volatile Experiment  Clear 2 negative effects from self and all allies.
Heal self and all allies for 20% of this character's Max Health.

Attack all enemies for 300% damage + apply Heal Block.

If this character has a Jean Grey ally:
 > Clear an additional 2 negative effects from self and all IMMORTAL X-MEN and UNCANNY AVENGER allies.
 > Clear all Vulnerable on self and all X-MEN and UNCANNY AVENGER allies.
 > This attack gains +500% Extra Focus. Level Required: 68  t4 confidence 53.0%"
Beast,passive,Immortal X-Men,ally,"Volatile Experiment  Clear 2 negative effects from self and all allies.
Heal self and all allies for 20% of this character's Max Health.

Attack all enemies for 300% damage + apply Heal Block.

If this character has a Jean Grey ally:
 > Clear an additional 2 negative effects from self and all IMMORTAL X-MEN and UNCANNY AVENGER allies.
 > Clear all Vulnerable on self and all X-MEN and UNCANNY AVENGER allies.
 > This attack gains +500% Extra Focus. Level Required: 68  t4 confidence 53.0%"
Beast,passive,Uncanny,ally,"Volatile Experiment  Clear 2 negative effects from self and all allies.
Heal self and all allies for 20% of this character's Max Health.

Attack all enemies for 300% damage + apply Heal Block.

If this character has a Jean Grey ally:
 > Clear an additional 2 negative effects from self and all IMMORTAL X-MEN and UNCANNY AVENGER allies.
 > Clear all Vulnerable on self and all X-MEN and UNCANNY AVENGER allies.
 > This attack gains +500% Extra Focus. Level Required: 68  t4 confidence 53.0%"
Beast,passive,Uncanny Avenger,ally,"Volatile Experiment  Clear 2 negative effects from self and all allies.
Heal self and all allies for 20% of this character's Max Health.

Attack all enemies for 300% damage + apply Heal Block.

If this character has a Jean Grey ally:
 > Clear an additional 2 negative effects from self and all IMMORTAL X-MEN and UNCANNY AVENGER allies.
 > Clear all Vulnerable on self and all X-MEN and UNCANNY AVENGER allies.
 > This attack gains +500% Extra Focus. Level Required: 68  t4 confidence 53.0%"
Beast,passive,X-Men,ally,"Volatile Experiment  Clear 2 negative effects from self and all allies.
Heal self and all allies for 20% of this character's Max Health.

Attack all enemies for 300% damage + apply Heal Block.

If this character has a Jean Grey ally:
 > Clear an additional 2 negative effects from self and all IMMORTAL X-MEN and UNCANNY AVENGER allies.
 > Clear all Vulnerable on self and all X-MEN and UNCANNY AVENGER allies.
 > This attack gains +500% Extra Focus. Level Required: 68  t4 confidence 53.0%"
BetaRayBill,basic,Asgard,enemy,"An adopted son of Asgard, Beta Ray Bill shows his enemies Stormbreaker's might by calling down lightning upon them and acting as a shield for his allies."
BetaRayBill,passive,Asgardian,enemy,"Battleship Skuttlebutt  Attack all enemies for 500% damage + 50% damage per positive effect on self.
Flip all positive effects to Bleed on each enemy.

If this character has 4 or more ASGARDIAN allies, this attack gains +50% extra Damage.

This attack cannot be blocked. Level Required: 70  t4 confidence 44.9%"
BetaRayBill,ultimate,Cosmic,ally,"Thunder Clap  Attack primary and adjacent targets for 420% damage.
Apply Stun to primary target.

Gain Taunt for 2 turns.

Apply +1 Defense Up, up to a maximum of 3, and 2 Deflect to self and all COSMIC allies. Level Required: 68  t4 confidence 45.2%"
Bishop,basic,Astonishing,ally,"The Astonishing X-Men's Blaster from the future, Bishop uses his mutant energy powers to deliver devastating attacks."
Bishop,basic,BLASTER,ally,"The Astonishing X-Men's Blaster from the future, Bishop uses his mutant energy powers to deliver devastating attacks."
Bishop,basic,Mutant,enemy,"The Astonishing X-Men's Blaster from the future, Bishop uses his mutant energy powers to deliver devastating attacks."
Bishop,basic,X-Men,ally,"The Astonishing X-Men's Blaster from the future, Bishop uses his mutant energy powers to deliver devastating attacks."
BlackBolt,basic,BLASTER,enemy,"The King of the Inhumans, Black Bolt is a Blaster whose voice deals massive damage and prevents enemies from reviving."
BlackBolt,passive,Illuminati,self,"Sonic Scream  Attack all enemies for 500% damage.

This attack gains +20% Crit Chance for each ILLUMINATI or INHUMAN ally.

If this character has 2 or more ILLUMINATI allies, this attack is Unavoidable. Level Required: 70  t4 confidence 60.4%"
BlackBolt,passive,Inhuman,self,"Sonic Scream  Attack all enemies for 500% damage.

This attack gains +20% Crit Chance for each ILLUMINATI or INHUMAN ally.

If this character has 2 or more ILLUMINATI allies, this attack is Unavoidable. Level Required: 70  t4 confidence 60.4%"
BlackCat,basic,Uncanny,enemy,"A master thief with nine lives and uncanny luck, Felicia Hardy's sticky fingers nab enemy buffs and distribute Charge to her allies."
BlackCat,passive,Spider-Verse,enemy,"Ill-gotten Gains  Do the following actions to the primary target:
 > Clear Immunity.
 > Transfer all negative effects and Vulnerable from self.
 > Copy and clear Charged and all positive effects, excluding Taunt, to self.
 > In ARENA, if this character has Trauma, apply Trauma.
 > Attack for 500% Piercing.
 > Reduce Speed Bar by 20%.

Do the following actions to this character:
 > Gain Immunity.
 > In ARENA, if primary target has Safeguard, gain +1 Safeguard.
 > Fill Speed Bar by 20%.
 > Gain +1 Charged.

On ARENA OFFENSE, apply Blind to primary target and 1 random SPIDER-VERSE enemy.

Enemies killed by this attack cannot be revived.
This attack is Unavoidable and cannot be blocked. Level Required: 80  t4 confidence 64.4%"
BlackCat,ultimate,Defender,enemy,"Bad Luck...For You  Attack primary target for 300% Piercing and do the following effects to the primary target:
 > Apply Trauma, Bleed, Disrupted, and Stun.
 > Copy and clear 3 positive effects, except Taunt, on primary target to self.
 > Reduce Speed Bar by 10%.
 > Clear 1 Charged.

Rebound Chain to 4 adjacent targets for 300% Piercing + apply Bleed + clear 1 Charged on each target.

Fill Speed Bar by 10% for this character.
Apply +2 Charged to self and all SECRET DEFENDER allies.

This attack can Chain to Stealth targets and cannot be blocked or counterattacked. Level Required: 68  t4 confidence 66.9%"
BlackCat,ultimate,Secret Defender,enemy,"Bad Luck...For You  Attack primary target for 300% Piercing and do the following effects to the primary target:
 > Apply Trauma, Bleed, Disrupted, and Stun.
 > Copy and clear 3 positive effects, except Taunt, on primary target to self.
 > Reduce Speed Bar by 10%.
 > Clear 1 Charged.

Rebound Chain to 4 adjacent targets for 300% Piercing + apply Bleed + clear 1 Charged on each target.

Fill Speed Bar by 10% for this character.
Apply +2 Charged to self and all SECRET DEFENDER allies.

This attack can Chain to Stealth targets and cannot be blocked or counterattacked. Level Required: 68  t4 confidence 66.9%"
BlackKnight,basic,Legendary,enemy,"Thrown forward in time, the Black Knight has arrived to bring the legendary Ebony Blade to bear against enemies that attack him or his allies."
BlackKnight,passive,BRAWLER,enemy,"'Tis but a Slash  Attack primary and adjacent targets for 500% Piercing + 30% of this character's Max Health as damage.

Gain +1 Charged, up to a maximum of 3.
Apply Defense Up to self and all allies.
Apply Offense Up to all BRAWLER allies.

Enemies killed by this attack cannot be revived.

This attack gains additional Piercing equal to this character's Bonus Armor %, and cannot be dodged or counterattacked. Level Required: 70  t4 confidence 65.5%"
BlackKnight,special,Out Of Time,ally,"Flesh Wound  Attack primary target for 280% Piercing + clear 1 random positive effect.

Apply +1 Deflect, up to a maximum of 5, to self or the most injured non-summoned ally. If that character is an OUT OF TIME ally, apply an additional +1 Deflect, up to a maximum of 5.

This attack gains additional Piercing equal to this character's Bonus Armor %. Level Required: 65  t4 confidence 66.9%"
BlackKnight,ultimate,Out Of Time,enemy,"None Shall Pass  Clear all negative effects from self and all allies. If negative effects removed from this character, heal self for 5% per negative effect removed.
Heal self for 20% of Max Health.

Attack primary target for 300% Piercing + apply Ability Block.

Gain Taunt, Safeguard, and +2 Charged, up to a maximum of 3.

Apply Speed Up and Immunity to self, 1 random adjacent ally, and all OUT OF TIME allies.

Enemies killed by this attack cannot be revived.

This attack gains additional Piercing equal to this character's Bonus Armor %, ignores Defense Up, is Unavoidable, and cannot be blocked or counterattacked. Level Required: 68  t4 confidence 67.7%"
BlackPantherBC,basic,Wakanda,ally,"Discovering Wakanda's Vibranium meteor and combining it with the Heart-Shaped Herb in the year 1,000,000 B.C., Bashenga became the first Black Panther."
BlackPantherBC,passive,War Dog,enemy,"Shred and Rend  Attack primary target for 350% Piercing and apply +2 Defense Down, up to a maximum of 5.
Rebound Chain to 5 targets for 350% Piercing and apply +2 Defense Down, up to a maximum of 5.

Counterattack breaks this Chain.
If any WAR DOG ally has Stealth, this attack can Chain to Stealth targets, cannot be counterattacked, and gains +500% Extra Focus. Level Required: 68  t4 confidence 24.7%"
BlackPantherShuri,basic,Defender,ally,"Following the untimely death of her brother, T'Challa, Shuri synthesized the heart-shaped herb to become the new defender of Wakanda."
BlackPantherShuri,basic,Wakanda,ally,"Following the untimely death of her brother, T'Challa, Shuri synthesized the heart-shaped herb to become the new defender of Wakanda."
BlackPantherShuri,ultimate,CONTROLLER,enemy,"Acrobatic Hunter  Attack primary target for 250% Piercing + apply Ability Block for 2 turns and Heal Block for 2 turns.
Rebound Chain to 3 adjacent targets for 250% Piercing + apply Slow for 2 turns and Heal Block for 2 turns.

In CRUCIBLE:
> Clear all Charged on the primary target.
> Generate 1 Ability Energy for self and all ILLUMINATI allies.
> On DEFENSE, this attack targets the enemy CONTROLLER with the most Speed Bar, instead, ignoring Taunt and Stealth.

This attack can Chain to Stealth targets, Counterattack breaks this Chain, and this attack gains +500% Extra Focus and cannot be blocked.

If this character has 2 or more ILLUMINATI allies, this attack gains +100% Crit Chance and is Unavoidable. Level Required: 68  t4 confidence 46.2%"
BlackPantherShuri,ultimate,Illuminati,enemy,"Acrobatic Hunter  Attack primary target for 250% Piercing + apply Ability Block for 2 turns and Heal Block for 2 turns.
Rebound Chain to 3 adjacent targets for 250% Piercing + apply Slow for 2 turns and Heal Block for 2 turns.

In CRUCIBLE:
> Clear all Charged on the primary target.
> Generate 1 Ability Energy for self and all ILLUMINATI allies.
> On DEFENSE, this attack targets the enemy CONTROLLER with the most Speed Bar, instead, ignoring Taunt and Stealth.

This attack can Chain to Stealth targets, Counterattack breaks this Chain, and this attack gains +500% Extra Focus and cannot be blocked.

If this character has 2 or more ILLUMINATI allies, this attack gains +100% Crit Chance and is Unavoidable. Level Required: 68  t4 confidence 46.2%"
BlackWidow,passive,Military,enemy,"Widow's Bite  Transfer 1 positive effect, excluding Taunt, from primary target to self and all SKILL MILITARY allies.

Attack primary target for 290% damage + apply Stun. Chain to 3 adjacent targets for 220% damage + apply 2 Bleed for 2 turns.

On WAR DEFENSE, if Spider-Man (Big Time) is an ally, this attack will also have the additional effects of this character's Special - Camouflage Tech.

This attack cannot be blocked and gains +1,000% Extra Focus.
Counterattack breaks this Chain. Level Required: 70  t4 confidence 23.9%"
BlackWidow,passive,Skill,enemy,"Widow's Bite  Transfer 1 positive effect, excluding Taunt, from primary target to self and all SKILL MILITARY allies.

Attack primary target for 290% damage + apply Stun. Chain to 3 adjacent targets for 220% damage + apply 2 Bleed for 2 turns.

On WAR DEFENSE, if Spider-Man (Big Time) is an ally, this attack will also have the additional effects of this character's Special - Camouflage Tech.

This attack cannot be blocked and gains +1,000% Extra Focus.
Counterattack breaks this Chain. Level Required: 70  t4 confidence 23.9%"
BlackWidow,passive,Tech,enemy,"Widow's Bite  Transfer 1 positive effect, excluding Taunt, from primary target to self and all SKILL MILITARY allies.

Attack primary target for 290% damage + apply Stun. Chain to 3 adjacent targets for 220% damage + apply 2 Bleed for 2 turns.

On WAR DEFENSE, if Spider-Man (Big Time) is an ally, this attack will also have the additional effects of this character's Special - Camouflage Tech.

This attack cannot be blocked and gains +1,000% Extra Focus.
Counterattack breaks this Chain. Level Required: 70  t4 confidence 23.9%"
BlackWidow,special,Infestation,enemy,"Sabotage  Attack primary target for 300% damage. During Stealth, copy and clear all positive effects, excluding Taunt, on primary target to self.

When forced to attack an ally, this character deals less damage to INFESTATION characters. Level Required: 65  t4 confidence 29.6%"
BlackWidow,ultimate,Avenger,ally,"Camouflage Tech  Gain Stealth for 2 turns + clear all negative effects from self.

Clear 1 negative effect from all AVENGER, SKILL MILITARY, and INFESTATION allies.

Apply Speed Up for 2 turns to self and all S.H.I.E.L.D., AVENGER, SKILL MILITARY, and INFESTATION allies.
60% chance to apply Speed Up for 2 turns to all allies.

Apply Immunity for 2 turns to self and all INFESTATION allies. Level Required: 68  t4 confidence 29.3%"
BlackWidow,ultimate,Infestation,ally,"Camouflage Tech  Gain Stealth for 2 turns + clear all negative effects from self.

Clear 1 negative effect from all AVENGER, SKILL MILITARY, and INFESTATION allies.

Apply Speed Up for 2 turns to self and all S.H.I.E.L.D., AVENGER, SKILL MILITARY, and INFESTATION allies.
60% chance to apply Speed Up for 2 turns to all allies.

Apply Immunity for 2 turns to self and all INFESTATION allies. Level Required: 68  t4 confidence 29.3%"
BlackWidow,ultimate,Military,ally,"Camouflage Tech  Gain Stealth for 2 turns + clear all negative effects from self.

Clear 1 negative effect from all AVENGER, SKILL MILITARY, and INFESTATION allies.

Apply Speed Up for 2 turns to self and all S.H.I.E.L.D., AVENGER, SKILL MILITARY, and INFESTATION allies.
60% chance to apply Speed Up for 2 turns to all allies.

Apply Immunity for 2 turns to self and all INFESTATION allies. Level Required: 68  t4 confidence 29.3%"
BlackWidow,ultimate,S.H.I.E.L.D.,ally,"Camouflage Tech  Gain Stealth for 2 turns + clear all negative effects from self.

Clear 1 negative effect from all AVENGER, SKILL MILITARY, and INFESTATION allies.

Apply Speed Up for 2 turns to self and all S.H.I.E.L.D., AVENGER, SKILL MILITARY, and INFESTATION allies.
60% chance to apply Speed Up for 2 turns to all allies.

Apply Immunity for 2 turns to self and all INFESTATION allies. Level Required: 68  t4 confidence 29.3%"
